데이터기준일,과태료명,단속동,단속건수
2023-05-04,주정차위반과태료,서울특별시 성북구 길음1동,1940
2023-05-04,주정차위반과태료,서울특별시 성북구 길음2동,9
2023-05-04,주정차위반과태료,서울특별시 성북구 길음동,13775
2023-05-04,주정차위반과태료,서울특별시 성북구 돈암1동,346
2023-05-04,주정차위반과태료,서울특별시 성북구 돈암2동,493
2023-05-04,주정차위반과태료,서울특별시 성북구 돈암동,4784
2023-05-04,주정차위반과태료,서울특별시 성북구 동선1동,1
2023-05-04,주정차위반과태료,서울특별시 성북구 동선동,915
2023-05-04,주정차위반과태료,서울특별시 성북구 동선동1가,11178
2023-05-04,주정차위반과태료,서울특별시 성북구 동선동2가,5444
2023-05-04,주정차위반과태료,서울특별시 성북구 동선동3가,2898
2023-05-04,주정차위반과태료,서울특별시 성북구 동선동4가,2231
2023-05-04,주정차위반과태료,서울특별시 성북구 동선동5가,1900
2023-05-04,주정차위반과태료,서울특별시 성북구 동소문동,813
2023-05-04,주정차위반과태료,서울특별시 성북구 동소문동1가,1590
2023-05-04,주정차위반과태료,서울특별시 성북구 동소문동2가,1722
2023-05-04,주정차위반과태료,서울특별시 성북구 동소문동3가,512
2023-05-04,주정차위반과태료,서울특별시 성북구 동소문동4가,1466
2023-05-04,주정차위반과태료,서울특별시 성북구 동소문동5가,4139
2023-05-04,주정차위반과태료,서울특별시 성북구 동소문동6가,2780
2023-05-04,주정차위반과태료,서울특별시 성북구 동소문동7가,892
2023-05-04,주정차위반과태료,서울특별시 성북구 보문동,1029
2023-05-04,주정차위반과태료,서울특별시 성북구 보문동1가,872
2023-05-04,주정차위반과태료,서울특별시 성북구 보문동2가,643
2023-05-04,주정차위반과태료,서울특별시 성북구 보문동3가,748
2023-05-04,주정차위반과태료,서울특별시 성북구 보문동4가,3059
2023-05-04,주정차위반과태료,서울특별시 성북구 보문동5가,433
2023-05-04,주정차위반과태료,서울특별시 성북구 보문동6가,731
2023-05-04,주정차위반과태료,서울특별시 성북구 보문동7가,1707
2023-05-04,주정차위반과태료,서울특별시 성북구 삼선2동,1
2023-05-04,주정차위반과태료,서울특별시 성북구 삼선동,3991
2023-05-04,주정차위반과태료,서울특별시 성북구 삼선동1가,735
2023-05-04,주정차위반과태료,서울특별시 성북구 삼선동2가,1262
2023-05-04,주정차위반과태료,서울특별시 성북구 삼선동3가,1358
2023-05-04,주정차위반과태료,서울특별시 성북구 삼선동4가,1122
2023-05-04,주정차위반과태료,서울특별시 성북구 삼선동5가,3514
2023-05-04,주정차위반과태료,서울특별시 성북구 상월곡동,3475
2023-05-04,주정차위반과태료,서울특별시 성북구 석관1동,1
2023-05-04,주정차위반과태료,서울특별시 성북구 석관동,18409
2023-05-04,주정차위반과태료,서울특별시 성북구 성북동,11163
2023-05-04,주정차위반과태료,서울특별시 성북구 성북동1가,2527
2023-05-04,주정차위반과태료,서울특별시 성북구 안암동,1980
2023-05-04,주정차위반과태료,서울특별시 성북구 안암동1가,1456
2023-05-04,주정차위반과태료,서울특별시 성북구 안암동2가,1059
2023-05-04,주정차위반과태료,서울특별시 성북구 안암동3가,538
2023-05-04,주정차위반과태료,서울특별시 성북구 안암동4가,1020
2023-05-04,주정차위반과태료,서울특별시 성북구 안암동5가,11494
2023-05-04,주정차위반과태료,서울특별시 성북구 월곡1동,622
2023-05-04,주정차위반과태료,서울특별시 성북구 월곡동,1293
2023-05-04,주정차위반과태료,서울특별시 성북구 장위1동,288
2023-05-04,주정차위반과태료,서울특별시 성북구 장위2동,14
2023-05-04,주정차위반과태료,서울특별시 성북구 장위3동,1068
2023-05-04,주정차위반과태료,서울특별시 성북구 장위동,21177
2023-05-04,주정차위반과태료,서울특별시 성북구 정릉1동,664
2023-05-04,주정차위반과태료,서울특별시 성북구 정릉2동,235
2023-05-04,주정차위반과태료,서울특별시 성북구 정릉3동,50
2023-05-04,주정차위반과태료,서울특별시 성북구 정릉4동,629
2023-05-04,주정차위반과태료,서울특별시 성북구 정릉동,25159
2023-05-04,주정차위반과태료,서울특별시 성북구 종암동,20570
2023-05-04,주정차위반과태료,서울특별시 성북구 하월곡1동,1
2023-05-04,주정차위반과태료,서울특별시 성북구 하월곡4동,2
2023-05-04,주정차위반과태료,서울특별시 성북구 하월곡동,36101
