단속년도,시군구명,단속동,단속건수
2021년,영등포구,당산1동,1
2021년,영등포구,당산2동,3
2021년,영등포구,당산동,3758
2021년,영등포구,당산동1가,726
2021년,영등포구,당산동2가,633
2021년,영등포구,당산동3가,3057
2021년,영등포구,당산동4가,1751
2021년,영등포구,당산동5가,1751
2021년,영등포구,당산동6가,1457
2021년,영등포구,당산제2동,2
2021년,영등포구,대림1동,2709
2021년,영등포구,대림2동,4061
2021년,영등포구,대림3동,5275
2021년,영등포구,대림동,7529
2021년,영등포구,대림제1동,1
2021년,영등포구,도림동,3308
2021년,영등포구,문래동1가,825
2021년,영등포구,문래동2가,589
2021년,영등포구,문래동3가,6313
2021년,영등포구,문래동4가,444
2021년,영등포구,문래동5가,1415
2021년,영등포구,문래동6가,1083
2021년,영등포구,신길1동,2221
2021년,영등포구,신길3동,1794
2021년,영등포구,신길4동,1701
2021년,영등포구,신길5동,770
2021년,영등포구,신길6동,2167
2021년,영등포구,신길7동,1634
2021년,영등포구,신길동,7029
2021년,영등포구,신길제5동,1
2021년,영등포구,양평1동,1
2021년,영등포구,양평2동,1
2021년,영등포구,양평동,2875
2021년,영등포구,양평동1가,570
2021년,영등포구,양평동2가,682
2021년,영등포구,양평동3가,1156
2021년,영등포구,양평동4가,3474
2021년,영등포구,양평동5가,1236
2021년,영등포구,양평동6가,724
2021년,영등포구,양화동,52
2021년,영등포구,여의도동,18607
2021년,영등포구,여의동,453
2021년,영등포구,영등포동,2305
2021년,영등포구,영등포동1가,569
2021년,영등포구,영등포동2가,1079
2021년,영등포구,영등포동3가,2091
2021년,영등포구,영등포동4가,1532
2021년,영등포구,영등포동5가,719
2021년,영등포구,영등포동6가,354
2021년,영등포구,영등포동7가,3085
2021년,영등포구,영등포동8가,873
2021년,영등포구,영등포본동,863
2022년,영등포구,당산1동,3 
2022년,영등포구,당산2동,10 
2022년,영등포구,당산동,2532 
2022년,영등포구,당산동1가,1264 
2022년,영등포구,당산동2가,704 
2022년,영등포구,당산동3가,2638 
2022년,영등포구,당산동4가,1290 
2022년,영등포구,당산동5가,768 
2022년,영등포구,당산동6가,807 
2022년,영등포구,당산제2동,1 
2022년,영등포구,대림1동,195 
2022년,영등포구,대림2동,262 
2022년,영등포구,대림3동,437 
2022년,영등포구,대림동,16008 
2022년,영등포구,대림제1동,3 
2022년,영등포구,대림제2동,6 
2022년,영등포구,대림제3동,6 
2022년,영등포구,도림동,2888 
2022년,영등포구,문래동,3 
2022년,영등포구,문래동1가,467 
2022년,영등포구,문래동2가,732 
2022년,영등포구,문래동3가,4947 
2022년,영등포구,문래동4가,243 
2022년,영등포구,문래동5가,847 
2022년,영등포구,문래동6가,943 
2022년,영등포구,신길1동,299 
2022년,영등포구,신길3동,239 
2022년,영등포구,신길4동,522 
2022년,영등포구,신길5동,106 
2022년,영등포구,신길6동,367 
2022년,영등포구,신길7동,178 
2022년,영등포구,신길동,14636 
2022년,영등포구,신길제1동,7 
2022년,영등포구,신길제3동,8 
2022년,영등포구,신길제4동,5 
2022년,영등포구,신길제5동,4 
2022년,영등포구,신길제6동,11 
2022년,영등포구,신길제7동,4 
2022년,영등포구,양평1동,1 
2022년,영등포구,양평2동,2 
2022년,영등포구,양평동,1890 
2022년,영등포구,양평동1가,713 
2022년,영등포구,양평동2가,894 
2022년,영등포구,양평동3가,1142 
2022년,영등포구,양평동4가,2740 
2022년,영등포구,양평동5가,1301 
2022년,영등포구,양평동6가,878 
2022년,영등포구,양평제1동,1 
2022년,영등포구,양평제2동,4 
2022년,영등포구,양화동,10 
2022년,영등포구,여의도동,17513 
2022년,영등포구,여의동,64 
2022년,영등포구,영등포동,2835 
2022년,영등포구,영등포동1가,1015 
2022년,영등포구,영등포동2가,1118 
2022년,영등포구,영등포동3가,2783 
2022년,영등포구,영등포동4가,2348 
2022년,영등포구,영등포동5가,593 
2022년,영등포구,영등포동6가,384 
2022년,영등포구,영등포동7가,2343 
2022년,영등포구,영등포동8가,715 
2022년,영등포구,영등포본동,141 
